time,clintellimqtt_consumer.value
2019-08-11T17:54:40.722Z,530
2019-08-11T17:54:40.723Z,541
2019-08-11T17:54:40.724Z,550
2019-08-11T17:54:40.725Z,557
2019-08-11T17:54:40.878Z,571
2019-08-11T17:54:40.879Z,594
2019-08-11T17:54:40.880Z,632
2019-08-11T17:54:40.881Z,675
2019-08-11T17:54:40.882Z,686
2019-08-11T17:54:40.883Z,598
2019-08-11T17:54:40.884Z,555
2019-08-11T17:54:41.037Z,528
2019-08-11T17:54:41.038Z,514
2019-08-11T17:54:41.039Z,507
2019-08-11T17:54:41.040Z,512
2019-08-11T17:54:41.041Z,533
2019-08-11T17:54:41.042Z,533
2019-08-11T17:54:41.043Z,540
2019-08-11T17:54:41.197Z,531
2019-08-11T17:54:41.198Z,531
2019-08-11T17:54:41.199Z,531
2019-08-11T17:54:41.200Z,530
2019-08-11T17:54:41.201Z,523
2019-08-11T17:54:41.202Z,541
2019-08-11T17:54:41.203Z,555
2019-08-11T17:54:41.359Z,538
2019-08-11T17:54:41.360Z,530
2019-08-11T17:54:41.361Z,531
2019-08-11T17:54:41.362Z,523
2019-08-11T17:54:41.363Z,929
2019-08-11T17:54:41.364Z,392
2019-08-11T17:54:41.365Z,520
2019-08-11T17:54:41.562Z,531
2019-08-11T17:54:41.563Z,526
2019-08-11T17:54:41.564Z,538
2019-08-11T17:54:41.565Z,555
2019-08-11T17:54:41.566Z,566
2019-08-11T17:54:41.567Z,616
2019-08-11T17:54:41.568Z,657
2019-08-11T17:54:41.569Z,653
2019-08-11T17:54:41.575Z,626
2019-08-11T17:54:41.576Z,566
2019-08-11T17:54:41.735Z,540
2019-08-11T17:54:41.893Z,506
2019-08-11T17:54:41.894Z,502
2019-08-11T17:54:41.895Z,501
2019-08-11T17:54:41.896Z,505
2019-08-11T17:54:41.897Z,505
2019-08-11T17:54:41.898Z,506
2019-08-11T17:54:41.899Z,516
2019-08-11T17:54:42.057Z,505
2019-08-11T17:54:42.058Z,519
2019-08-11T17:54:42.059Z,537
2019-08-11T17:54:42.060Z,516
2019-08-11T17:54:42.061Z,523
2019-08-11T17:54:42.062Z,505
2019-08-11T17:54:42.063Z,530
2019-08-11T17:54:42.216Z,715
2019-08-11T17:54:42.217Z,750
2019-08-11T17:54:42.218Z,484
2019-08-11T17:54:42.219Z,510
2019-08-11T17:54:42.220Z,523
2019-08-11T17:54:42.221Z,525
2019-08-11T17:54:42.222Z,543
2019-08-11T17:54:42.223Z,550
2019-08-11T17:54:42.375Z,566
2019-08-11T17:54:42.376Z,602
2019-08-11T17:54:42.377Z,646
2019-08-11T17:54:42.378Z,651
2019-08-11T17:54:42.379Z,561
2019-08-11T17:54:42.380Z,502
2019-08-11T17:54:42.381Z,505
2019-08-11T17:54:42.534Z,494
2019-08-11T17:54:42.535Z,496
2019-08-11T17:54:42.536Z,490
2019-08-11T17:54:42.537Z,501
2019-08-11T17:54:42.538Z,502
2019-08-11T17:54:42.539Z,507
2019-08-11T17:54:42.540Z,506
2019-08-11T17:54:42.693Z,502
2019-08-11T17:54:42.694Z,508
2019-08-11T17:54:42.695Z,512
2019-08-11T17:54:42.696Z,508
2019-08-11T17:54:42.697Z,506
2019-08-11T17:54:42.698Z,520
2019-08-11T17:54:42.851Z,520
2019-08-11T17:54:42.852Z,520
2019-08-11T17:54:42.853Z,520
2019-08-11T17:54:42.854Z,524
2019-08-11T17:54:42.855Z,522
2019-08-11T17:54:42.856Z,541
2019-08-11T17:54:42.857Z,556
2019-08-11T17:54:43.012Z,532
2019-08-11T17:54:43.013Z,525
2019-08-11T17:54:43.014Z,526
2019-08-11T17:54:43.015Z,530
2019-08-11T17:54:43.016Z,964
2019-08-11T17:54:43.017Z,497
